USING           -> using
SEMICOLON       -> ;
IF              -> if
LPAREN          -> (
ID              -> productoActivo
RPAREN          -> )
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Diagnóstico: Producto activo registrado el 
PLUS            -> +
ID              -> fechaRegistro
RPAREN          -> )
SEMICOLON       -> ;
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Código Hex: 
PLUS            -> +
ID              -> codigoHex
PLUS            -> +
STRING_LITERAL  -> , Binario: 
PLUS            -> +
ID              -> codigoBin
RPAREN          -> )
SEMICOLON       -> ;
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Temperatura del almacén: 
PLUS            -> +
ID              -> temperaturaAlmacen
PLUS            -> +
STRING_LITERAL  -> °C
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
ELSE            -> else
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Producto inactivo.
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
RBRACE          -> }
PUBLIC          -> public
VOID            -> void
ID              -> MostrarMensaje
LPAREN          -> (
STRING          -> string
ID              -> mensaje
ASSIGN          -> =
STRING_LITERAL  -> Hola
RPAREN          -> )
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
ID              -> mensaje
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
RBRACE          -> }
PUBLIC          -> public
CLASS           -> class
CLASS_NAME      -> Programa
LBRACE          -> {
PUBLIC          -> public
STATIC          -> static
VOID            -> void
ID              -> Main
LPAREN          -> (
STRING          -> string
LBRACKET        -> [
RBRACKET        -> ]
ID              -> args
RPAREN          -> )
LBRACE          -> {
ID              -> Producto
ID              -> p
ASSIGN          -> =
NEW             -> new
ID              -> Producto
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
ID              -> p
DOT             -> .
ID              -> MostrarInfo
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
BOOL            -> bool
ID              -> puedeVenderse
ASSIGN          -> =
ID              -> p
DOT             -> .
ID              -> DisponibleParaVenta
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> ¿Disponible para la venta?: 
PLUS            -> +
ID              -> puedeVenderse
RPAREN          -> )
SEMICOLON       -> ;
ID              -> DiagnosticoInventario
ID              -> d
ASSIGN          -> =
NEW             -> new
ID              -> DiagnosticoInventario
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
ID              -> d
DOT             -> .
ID              -> EjecutarAnalisis
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
ID              -> d
DOT             -> .
ID              -> MostrarMensaje
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
RBRACE          -> }
